ID,cins,yas,Medenidurum,Egtmdurumu,gorevsure,gorevg,TOZT1,TOZT2,TOZT3,TOZT4_cev,TOZT5_cev,TODT1,TODT2,TODT3,TODT4,TODT5,TODT6,TOFT1,TOFT2,TOFT3,TOFT4,TOFT5,TOFT6_cev,TOFT7,ODD1,ODD2,ODD3_cev,ODD4,ODD5_cev,ODD6,ODD7_cev,ODD8,Tuken,Tuken_Zihin,Tuken_Duyg,Tuken_Fizik,OrgDest
34,2 Kadın,28,1 Bekar,"4 Üniversite ",2,3 Hemşire,4,1,1,2,2,3,2,1,3,2,2,2,2,2,3,3,3,4,2,1,2,2,2,2,2,2,2.3333333333333335,2,2.1666666666666665,2.7142857142857144,1.875
35,1 Erkek,27,1 Bekar,"4 Üniversite ",5,3 Hemşire,5,2,4,3,3,2,2,3,3,2,3,3,2,1,2,2,3,2,2,1,3,4,3,2,3,2,2.611111111111111,3.4,2.5,2.142857142857143,2.5
36,2 Kadın,28,1 Bekar,"4 Üniversite ",3,3 Hemşire,4,4,3,2,3,3,3,2,3,3,4,4,4,4,4,4,3,4,3,3,3,1,4,2,4,3,3.388888888888889,3.2,3,3.857142857142857,2.875
37,2 Kadın,23,1 Bekar,"4 Üniversite ",2,3 Hemşire,5,5,5,5,4,5,5,5,5,4,5,5,5,5,2,5,5,5,1,1,1,1,1,1,1,1,4.722222222222222,4.8,4.833333333333333,4.571428571428571,1
38,2 Kadın,34,2 Evli,"4 Üniversite ",10,3 Hemşire,5,1,5,3,3,3,1,2,3,3,3,3,3,5,4,2,3,2,2,2,4,1,5,2,4,1,3,3.4,2.5,3.142857142857143,2.625
39,1 Erkek,28,1 Bekar,"4 Üniversite ",2,3 Hemşire,4,2,2,5,5,4,2,4,5,4,4,3,3,4,2,2,3,3,2,1,4,2,4,2,4,2,3.388888888888889,3.6,3.8333333333333335,2.857142857142857,2.625
40,2 Kadın,26,1 Bekar,"4 Üniversite ",1,3 Hemşire,2,5,2,2,3,2,5,2,2,2,2,3,3,3,5,3,3,1,2,3,5,2,4,2,3,3,2.7777777777777777,2.8,2.5,3,3
41,2 Kadın,28,1 Bekar,"4 Üniversite ",2,3 Hemşire,4,3,3,3,3,3,3,4,2,3,3,3,5,3,4,3,3,3,3,2,3,3,2,3,2,3,3.2222222222222223,3.2,3,3.4285714285714284,2.625
42,2 Kadın,37,1 Bekar,"4 Üniversite ",10,2 Hasta hizmetleri,2,1,1,1,1,2,3,2,1,1,2,2,2,2,3,3,2,3,2,1,2,2,4,3,2,2,1.8888888888888888,1.2,1.8333333333333333,2.4285714285714284,2.25
43,2 Kadın,29,2 Evli,"4 Üniversite ",2,3 Hemşire,3,3,3,1,1,3,1,1,1,1,1,2,2,1,5,2,1,1,2,2,2,5,4,2,2,4,1.8333333333333333,2.2,1.3333333333333333,2,2.875
44,1 Erkek,25,1 Bekar,"4 Üniversite ",5,3 Hemşire,1,2,1,3,1,3,2,1,3,3,1,1,1,1,4,2,2,2,3,4,4,4,4,2,4,5,1.8888888888888888,1.6,2.1666666666666665,1.8571428571428572,3.75
45,1 Erkek,31,2 Evli,3 Lise,4,2 Hasta hizmetleri,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,3,2,4,5,4,3,4,4,1.3333333333333333,1.4,1.1666666666666667,1.4285714285714286,3.625
46,2 Kadın,22,1 Bekar,"4 Üniversite ",2,3 Hemşire,4,3,2,2,3,4,1,2,1,2,3,2,1,3,2,2,2,2,2,3,3,3,3,2,4,3,2.2777777777777777,2.8,2.1666666666666665,2,2.875
47,2 Kadın,26,1 Bekar,"4 Üniversite ",5,3 Hemşire,5,3,3,1,4,2,3,3,1,3,5,5,2,5,4,5,5,5,3,2,2,2,3,3,5,4,3.5555555555555554,3.2,2.8333333333333335,4.428571428571429,3
48,2 Kadın,32,2 Evli,"4 Üniversite ",5,2 Hasta hizmetleri,3,5,4,3,3,3,3,2,3,2,3,2,1,1,2,2,3,1,5,2,2,1,1,5,1,1,2.5555555555555554,3.6,2.6666666666666665,1.7142857142857142,2.25
49,2 Kadın,26,2 Evli,"4 Üniversite ",2,3 Hemşire,2,1,2,2,2,2,2,1,3,2,3,4,3,3,2,4,3,3,3,1,5,1,5,3,5,2,2.4444444444444446,1.8,2.1666666666666665,3.142857142857143,3.125
50,2 Kadın,23,1 Bekar,"4 Üniversite ",1,3 Hemşire,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,2,2,4,3,4,5,3,4,4,1.3333333333333333,1.2,1.1666666666666667,1.5714285714285714,3.625
51,2 Kadın,32,2 Evli,"4 Üniversite ",11,3 Hemşire,3,2,2,2,2,3,2,2,2,2,3,2,2,3,2,3,2,3,2,2,2,3,3,2,3,3,2.3333333333333335,2.2,2.3333333333333335,2.4285714285714284,2.5
52,2 Kadın,44,2 Evli,3 Lise,25,3 Hemşire,2,1,1,1,1,2,1,3,2,2,2,1,1,1,1,1,1,2,3,4,4,4,5,3,5,5,1.4444444444444444,1.2,2,1.1428571428571428,4.125
53,1 Erkek,35,2 Evli,"4 Üniversite ",8,3 Hemşire,3,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,4,1,5,5,5,4,5,5,5,5,1.8888888888888888,2,1.5,2.142857142857143,4.875
54,1 Erkek,45,3 Boşanmış,"4 Üniversite ",21,3 Hemşire,2,2,1,4,4,2,2,1,2,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1.7777777777777777,2.6,1.5,1.4285714285714286,1.375
55,2 Kadın,20,2 Evli,"4 Üniversite ",1,2 Hasta hizmetleri,4,3,1,3,3,3,1,3,3,4,4,2,2,2,2,4,3,4,4,3,3,3,2,3,2,2,2.8333333333333335,2.8,3,2.7142857142857144,2.75
56,2 Kadın,22,1 Bekar,3 Lise,2,2 Hasta hizmetleri,3,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,4,5,5,4,5,4,5,5,1.3333333333333333,1.4,1.5,1.1428571428571428,4.625
